"id_artist","nome","edizione"
"1MBjY2JFotAGoTYDfO80cM","Lo Stato Sociale",2018
"0EqkKYDK9EkKY5N7zU3FPv","Annalisa",2018
"3vuKNU7lgoecqjnArUKom6","Ron",2018
"1QrbBKCg9WADHahXPEaY3N","Ornella Vanoni, Bungaro, Pacifico",2018
"1h5O32I1o0VOnpLmKXLfRa","Max Gazzè",2018
"3MQtBfmpkIWAxzuXgLznx6","Luca Barbarossa",2018
"2QWrpLRDeBD1NwWAsytBRi","Diodato",2018
"6ZABE2V1BqiqDoTT8kgeJb","Roy Paci",2018
"72A0Z8q8NiochyK9gUHpCR","The Kolors",2018
"0rVjxMmahuf20itFlVo1Di","Giovanni Caccamo",2018
"3J3PdLj6v1uAs1mWKpzZbX","Le Vibrazioni",2018
"3Q4phRnS8Pcq8s5FRA1aIO","Enzo Avitabile",2018
"3nDdKfyI0uMX2svRHHy0q0","Peppe Servillo",2018
"3uAIPzsjVYXpAek9PPxIXt","Renzo Rubino",2018
"62C5P1caRIK12ndTkzNJjA","Noemi",2018
"5HSP2h4Ai5izYppJrrTijV","Red Canzian",2018
"0wSk7M2UXea9whwjDzmK4R","Decibel",2018
"5zRmtoBOCk7JaYHI78Y5b5","Nina Zilli",2018
"5rkWh6pgDRZKzJfuccl4qF","Roby Facchinetti",2018
"1N0Bm9VCkURJH1FHVCKEcK","Riccardo Fogli",2018
"1dRsXw2TtfCXfqMLRiP088","Mario Biondi",2018
"61r4cE4aoOD50wPNhQ5fF7","Elio e le Storie Tese",2018
"0LiO8GSrYuUjCWMpM0M28q","Neri Per Caso",2018
"06nvjg4wBANK6DCHjqtPNd","Mahmood",2019
"3hN3iJMbbBmqBSAMx5veDa","Ultimo",2019
"0dE9ooTNz8iEKIKItRI66t","Il Volo",2019
"2XpUprTohaksHpVjUtTvlx","Loredana Bertè",2019
"0sqq7uB8agn7oT15sssKRz","Simone Cristicchi",2019
"6q8f3fxaWqkXzkbxtKOzYF","Daniele Silvestri",2019
"5DkmrXKeWgDS86KKEw45o6","Rancore",2019
"1fLNnD2YIhtUR8VrX68As4","Manuel Agnelli",2019
"5iot8OPcosJN9nCl7I5SdK","Irama",2019
"25x6MD0spNNS7z93Sat30K","Arisa",2019
"0lI3rF4hi4op6UxqlLHPzv","Achille Lauro",2019
"57aMHpsX2SXTbLatmeEd6j","Boss Doms",2019
"2lkP8239tkwRjg5N7d2D0w","Frenetik&Orang3",2019
"4Umo1uO9VemTgnkjeUhx8c","Enrico Nigiotti",2019
"4mAsWDGLUIEdo6imU77WG6","Boomdabash",2019
"4xgOj3GP5I1do9ip0MQkLa","Ghemon",2019
"237CwiTh0USBnyLOSC3FIW","Ex-Otago",2019
"1gRsYpSd9fR8x92ppdlCg3","Motta",2019
"3TAYxk5QBcHunmb0qkeTn2","Francesco Renga",2019
"7dNlfF1yoOCoclHmZuUemi","Paola Turci",2019
"7nrxF1ilcwJNHofGUfsC84","The Zen Circus",2019
"1xqolkIzTFMmqgCuD48WNt","Shade",2019
"0vQk2DnpCtSLT8QeMbCE6L","Federica Carta",2019
"5mXMQJHLLfym1KyNcDrhoZ","Nek",2019
