"genres","id_artist"
"italian hip hop, rap italiano old school","2Nsm5iGxbJxHoGZwrsOurY"
"","4PBrqyr7xtWlqCRZFMIssQ"
"italian adult pop","4XWTdNlsP8jqo5BDn5hgmd"
"classic italian pop, italian adult pop","3ebOqZZsLCDAkLS6QdI8cc"
"italian alternative, italian indie pop","1MBjY2JFotAGoTYDfO80cM"
"italian adult pop, italian pop","0EqkKYDK9EkKY5N7zU3FPv"
"classic italian pop, italian adult pop","3vuKNU7lgoecqjnArUKom6"
"","1QrbBKCg9WADHahXPEaY3N"
"classic italian pop, italian adult pop","1h5O32I1o0VOnpLmKXLfRa"
"classic italian pop, italian adult pop, italian lounge","3MQtBfmpkIWAxzuXgLznx6"
"italian indie pop","2QWrpLRDeBD1NwWAsytBRi"
"italian ska","6ZABE2V1BqiqDoTT8kgeJb"
"italian adult pop, italian pop","72A0Z8q8NiochyK9gUHpCR"
"","0rVjxMmahuf20itFlVo1Di"
"classic italian pop, italian adult pop","3J3PdLj6v1uAs1mWKpzZbX"
"balearic, musica sarda","3Q4phRnS8Pcq8s5FRA1aIO"
"","3nDdKfyI0uMX2svRHHy0q0"
"","3uAIPzsjVYXpAek9PPxIXt"
"italian adult pop, italian pop","62C5P1caRIK12ndTkzNJjA"
"","5HSP2h4Ai5izYppJrrTijV"
"italian new wave","0wSk7M2UXea9whwjDzmK4R"
"italian adult pop","5zRmtoBOCk7JaYHI78Y5b5"
"","5rkWh6pgDRZKzJfuccl4qF"
"classic italian pop, italian adult pop","1N0Bm9VCkURJH1FHVCKEcK"
"italian adult pop, italian jazz, italian lounge","1dRsXw2TtfCXfqMLRiP088"
"italian adult pop, italian alternative","61r4cE4aoOD50wPNhQ5fF7"
"classic italian pop, italian adult pop, italian lounge","0LiO8GSrYuUjCWMpM0M28q"
"italian pop","06nvjg4wBANK6DCHjqtPNd"
"italian adult pop, italian pop","3hN3iJMbbBmqBSAMx5veDa"
"italian progressive rock, operatic pop","0dE9ooTNz8iEKIKItRI66t"
"classic italian pop, italian adult pop","2XpUprTohaksHpVjUtTvlx"
"italian adult pop","0sqq7uB8agn7oT15sssKRz"
"classic italian pop, italian adult pop, italian indie pop","6q8f3fxaWqkXzkbxtKOzYF"
"italian hip hop, italian indie pop, italian underground hip hop","5DkmrXKeWgDS86KKEw45o6"
"","1fLNnD2YIhtUR8VrX68As4"
"italian adult pop, italian pop","5iot8OPcosJN9nCl7I5SdK"
"italian adult pop","25x6MD0spNNS7z93Sat30K"
"italian hip hop, italian indie pop, italian pop","0lI3rF4hi4op6UxqlLHPzv"
"brostep, edm","57aMHpsX2SXTbLatmeEd6j"
"italian hip hop, italian indie pop","2lkP8239tkwRjg5N7d2D0w"
"italian adult pop, italian pop rock","4Umo1uO9VemTgnkjeUhx8c"
"italian adult pop, italian pop, italian reggae","4mAsWDGLUIEdo6imU77WG6"
"italian hip hop, italian indie pop, rap napoletano","4xgOj3GP5I1do9ip0MQkLa"
"indie liguria, italian alternative, italian indie pop, rap napoletano","237CwiTh0USBnyLOSC3FIW"
"italian alternative, italian indie pop, italian post-hardcore, rome indie","1gRsYpSd9fR8x92ppdlCg3"
"classic italian pop, italian adult pop","3TAYxk5QBcHunmb0qkeTn2"
"classic italian pop, italian adult pop","7dNlfF1yoOCoclHmZuUemi"
"indie rock italiano, italian alternative, italian indie pop","7nrxF1ilcwJNHofGUfsC84"
"italian adult pop, italian pop","1xqolkIzTFMmqgCuD48WNt"
"italian pop","0vQk2DnpCtSLT8QeMbCE6L"
"europop, italian adult pop","5mXMQJHLLfym1KyNcDrhoZ"
"classic italian pop, italian adult pop","0Tuudqq2NACRXkvTQGazY2"
"beat italiano, classic italian pop, italian adult pop","2Yi5fknmHBqqKjHF6cXQyh"
"italian adult pop, italian pop","4FTMyLkoEE9oEUpCv3Dr4p"
"classic italian pop, italian adult pop","2TtebnfWKMq7LCi2A9BlU4"
"","2A0z6Qg6u9zBYIJW3Cr64J"
"canzone napoletana, classic italian pop, italian adult pop","4xhEhRE75hHgXMeNeeTTsx"
"italian pop, rap napoletano","67ZKaYOA7fXtnWve33FcSX"
"italian indie pop","2QWrpLRDeBD1NwWAsytBRi"
"italian adult pop, italian pop","5lzqFxifzjxYHGJxuwQqtR"
"bergamo indie, italian indie pop, italian pop, milan indie","6RdcIWVKYYzNzjQRd3oyHS"
"classic italian pop, italian adult pop","3J3PdLj6v1uAs1mWKpzZbX"
"italian adult pop","6gTrPTTb3XgiLt7GGcmf8j"
"musica etnica","2QezBWDHOoFeVCM3wlzTDu"
"italian adult pop, italian pop","7GgpsUpkj3olseoaTY7TEY"
"italian hip hop, italian indie pop, italian pop","0lI3rF4hi4op6UxqlLHPzv"
"classic italian pop, italian adult pop, italian lounge","0Ob8qRZ9R1jhibRue9ap1H"
"italian hip hop, italian indie pop, italian underground hip hop","5DkmrXKeWgDS86KKEw45o6"
"compositional ambient, italian electronica, neo-classical, rome indie","6JhUHne9H09NdkTI5E9GSt"
"","6hu9cUsJDFg2kUkAAjOepA"
"italian adult pop, italian indie pop, italian pop, turin indie","5mTg1ztZByLRHsOEtwmT4G"
"italian hip hop","0QJ3p787u7KD0ZhD5vzrCA"
"italian adult pop, italian tenor, operatic pop","7n97gdKHt1WpbhwCSaZGN8"
"classic italian pop, europop, italian adult pop","0kcOfjhVfDMTS09s9aLmuD"
"","1x0zlfJWTnI08gqAwMrGpX"
"classic italian pop, ye ye","3xc8CD41vwsoBNkGXL3pS7"
"classic italian pop, italian adult pop","7GQA0yMdSaivapYpUqgfKJ"
"italian adult pop, italian pop rock","4Umo1uO9VemTgnkjeUhx8c"
"italian adult pop, italian pop","0ZhqSTaEEWN6USw0E30pws"
"italian pop","3o7fC2O4nraaicpID6bBZW"
"italian hip hop","215ciYy7TIYnGRim0I1nJ3"
"italian adult pop, italian pop","1DyU8JVejfDzqXo9x2mFfQ"
"italian alternative","01U4yWwtUKMckbI55OiT7g"
"italian alternative, italian indie pop","6RUY9TXdPIoeOExtd9twr0"
"indie rock italiano, italian pop","0lAWpj5szCSwM4rUMHYmrr"
"italian adult pop, italian pop, italian pop rock","4jFlmD92WULLlaRS8Cj6QS"
"italian pop","3pgCLfNbw5ozIfoNsvDU7i"
"italian adult pop","4XWTdNlsP8jqo5BDn5hgmd"
"indie siciliano, italian alternative, italian indie pop","2KX2VLr3Eu6sn6EtxzCtvf"
"indie siciliano, italian indie pop","1k3zqz5SgrYCE0wpcfJX3g"
"italian adult pop, italian pop","5iot8OPcosJN9nCl7I5SdK"
"italian hip hop, italian indie pop, rap napoletano, turin indie","00CsjN69YCczmdW0bDKaCC"
"italian adult pop, italian pop","0EqkKYDK9EkKY5N7zU3FPv"
"italian hip hop, italian pop, trap italiana","1vgQksyJ0IVz8y9XerEOy3"
"classic italian pop","6W7O7oseXcbYLoiarQrpOw"
"italian adult pop","25x6MD0spNNS7z93Sat30K"
"indie siciliano, italian indie pop","0YmQyGKpZgGSDxsC8iEGQU"
"","3ZoQo4lRRScMfUt80dixVp"
"","5Or6NSwkamM2NsaHp9VMc2"
"italian alternative, italian indie pop","1MBjY2JFotAGoTYDfO80cM"
"italian adult pop, italian pop","62C5P1caRIK12ndTkzNJjA"
"classic italian pop, italian adult pop","5jcswtptZttxBwWKXbR5k5"
"italian indie pop, rome indie","1QeqGmpgU5Yg74GNcjIIq3"
"classic italian pop, italian adult pop","1h5O32I1o0VOnpLmKXLfRa"
"emo rap italiano, italian hip hop, italian pop, pop virale italiano","1hM06YHQ635cZwwUbn7dpk"
"","0kbBijEWCi7FWrBpnpOcHd"
"italian adult pop, italian pop","3AVx3OBPIk4pJQllAXoVs1"
"italian indie pop, milan indie","0Sv8sjzMHBbAWXt4CGB9Us"
"italian hip hop, italian indie pop, rap napoletano","4xgOj3GP5I1do9ip0MQkLa"
"classic italian pop, italian adult pop","3TAYxk5QBcHunmb0qkeTn2"
"italian indie pop","1UjLyuJUXKzlECQRLIsF3n"
"italian alternative","01U4yWwtUKMckbI55OiT7g"
"italian indie pop, italian pop","5bxbPQo0VkFgZKemF0YKb4"
"italian pop","05kigUQCchmbJDmhDiYiS0"
"italian pop","06nvjg4wBANK6DCHjqtPNd"
"italian pop","1MRiIeZbc0cRuxOafDUCtH"
"italian adult pop, italian pop","2ARH58Hit3yC6ziGdhma23"
"classic italian pop, italian adult pop","15FrhfFYJIx7Ijltkpjbsr"
